1551351715.937463000	2c:33:11:22:eb:20		1
1551351716.032248000	2c:33:11:22:eb:21		1
1551351716.528885000	2c:33:11:1a:45:42		1
1551351717.826869000	2c:33:11:43:05:e2		13
1551351717.871930000	2c:d0:2d:f5:85:32		13
1551351718.031225000	2c:d0:2d:f5:85:30		13
1551351718.084982000	2c:33:11:43:05:e1		13
1551351718.129529000	2c:d0:2d:f5:85:31		13
1551351718.403957000	2c:33:11:43:05:e0		13
1551351721.497134000	38:80:df:0c:85:27		3
1551351724.249844000	e6:b3:18:de:c4:8e		5
1551351725.865786000	00:a3:8e:8f:be:71		5
1551351725.975354000	00:a3:8e:8f:be:70		5
1551351726.233465000	00:a3:8e:8f:be:72		5
1551351727.955888000	e8:de:27:58:5b:cc		6
1551351728.941038000	a0:63:91:05:e0:38		12
1551351729.897000000	d8:61:62:40:ca:67		36
1551351733.910826000	00:3a:7d:27:b2:8e		
1551351733.916986000	00:a3:8e:8f:be:7f		
1551351733.966138000	00:a3:8e:8f:be:7d		
1551351734.015354000	00:a3:8e:8f:be:7e		
1551351734.021482000	00:3a:7d:27:b2:8f		
1551351734.488426000	00:3a:7d:27:b2:8d		
1551351736.957428000	2c:33:11:1a:45:4d		
1551351737.004595000	2c:33:11:1a:45:4e		
1551351737.116724000	2c:33:11:1a:45:4f		
1551351738.011272000	2c:d0:2d:f5:85:3f		
1551351738.060936000	2c:d0:2d:f5:85:3d		
1551351738.110088000	2c:d0:2d:f5:85:3e		
1551351739.986094000	2c:33:11:43:05:ee		
1551351740.111085000	2c:33:11:43:05:ef		
1551351740.145900000	2c:33:11:43:05:ed		
1551351741.998890000	00:3a:7d:1e:db:3d		
1551351742.046057000	00:3a:7d:1e:db:3e		
1551351742.156651000	00:3a:7d:1e:db:3f		
1551351742.436204000	2c:d0:2d:f5:7a:2e		
1551351746.130543000	00:a3:8e:8f:b4:4f		
1551351746.180206000	00:a3:8e:8f:b4:4d		
1551351746.229358000	00:a3:8e:8f:b4:4e		
1551351747.061425000	2c:33:11:22:eb:2f		
1551351747.109041000	2c:33:11:22:eb:2d		
1551351747.158192000	2c:33:11:22:eb:2e		
1551351752.097251000	e8:de:27:58:5b:cd		161
1551351762.326130000	2c:33:11:1a:45:41		1
1551351762.357879000	2c:33:11:22:eb:22		1
1551351783.364521000	00:3a:7d:34:e6:4d		
1551351783.523242000	00:3a:7d:34:e6:4f		
1551351783.831465000	00:3a:7d:34:e6:4e		
1551351784.246760000	00:3a:7d:21:4e:7e		
1551351784.356840000	00:3a:7d:21:4e:7f		
1551351784.407016000	00:3a:7d:21:4e:7d		
1551351785.006124000	00:3a:7d:34:7a:9f		
1551351788.294891000	2c:d0:2d:f5:7a:2f		
1551351788.302059000	00:3a:7d:12:42:6d		
1551351788.344042000	2c:d0:2d:f5:7a:2d		
1551351788.352744000	00:3a:7d:12:42:6e		
1551351788.463339000	00:3a:7d:12:42:6f		
1551351792.398311000	00:42:68:8b:aa:af		
1551351792.429548000	00:3a:7d:38:d6:1d		
1551351792.478698000	00:3a:7d:38:d6:1e		
1551351792.589290000	00:3a:7d:38:d6:1f		
1551351808.396276000	2c:33:11:1a:45:40		1
1551351808.592372000	00:a3:8e:8f:b4:40		1
1551351808.850932000	00:a3:8e:8f:b4:42		1
1551351808.900084000	00:a3:8e:8f:b4:41		1
1551351810.531439000	70:db:98:26:7c:50		13
1551351815.445938000	00:3a:7d:27:b2:81		9
1551351815.510962000	2c:33:11:50:2d:00		9
1551351815.572914000	2c:33:11:50:2d:02		9
1551351815.816113000	00:3a:7d:27:b2:82		9
1551351827.545772000	2c:33:11:43:09:7f		
1551351827.596461000	2c:33:11:43:09:7d		
1551351827.644076000	2c:33:11:43:09:7e		
1551351857.005106000	70:db:98:26:7c:51		13
1551351857.164850000	70:db:98:26:7c:52		13
1551351861.775667000	2c:33:11:50:2d:01		9
1551351872.732139000	2c:33:11:52:23:6d		
1551351872.781290000	2c:33:11:52:23:6e		
1551351872.891883000	2c:33:11:52:23:6f		
1551352005.683498000	0c:51:01:e4:0a:ae		6
1551352023.904682000	00:42:68:8b:aa:ad		
1551352023.954346000	00:42:68:8b:aa:ae		
1551352070.419305000	00:3a:7d:27:d0:cf		
1551352070.727018000	00:3a:7d:27:d0:ce		
1551352072.966632000	2c:33:11:50:2d:0f		
1551352108.220650000	00:3a:7d:34:7a:9d		
1551352108.268265000	00:3a:7d:34:7a:9e		
